"id","time_parse","channel","usr_parse","msg_parse"
34788,"2023-12-31 17:32:54","#atropa_logged","mariarahel!~maria","https://www.youtube.com/watch?v=pepzU72pIl4"
34787,"2023-12-31 17:32:35","#atropa_logged","mariarahel!~maria","Atlantic City's Adhibition Beat Is Old Like Scooter Braun, Jordans"
34786,"2023-12-31 17:30:17","#atropa_logged","mariarahel!~maria","Atlantic City's Adhibition Beat Is Old Like Scooter Braun"
34782,"2023-12-31 16:57:55","#atropa_logged","mariarahel!~maria","No Youth Are Kinder"
34781,"2023-12-31 16:46:23","#atropa_logged","mariarahel!~maria","Atlantic City Decimated The Empire Of Brittany, Renamed It Jordan & Installed Moncler & Marc Jacobs To Rule"
34780,"2023-12-31 16:43:02","#atropa_logged","mariarahel!~maria","https://www.youtube.com/watch?v=jQ4-UbrbI4o"
34779,"2023-12-31 16:40:40","#atropa_logged","mariarahel!~maria","Moncler & His Wife Marc Jacobs That Rule Jordan"
34778,"2023-12-31 16:39:57","#atropa_logged","mariarahel!~maria","Moncler & Marc Jacobs Make The Country Of Jordan A Genocidal Joke About Sporting"
34777,"2023-12-31 16:38:27","#atropa_logged","mariarahel!~maria","Good 6 Maturity, Mr Beast"
34776,"2023-12-31 16:38:08","#atropa_logged","mariarahel!~maria","Good 6 Maturity"
34775,"2023-12-31 16:36:33","#atropa_logged","mariarahel!~maria","That The This Many ?"
34774,"2023-12-31 16:32:43","#atropa_logged","mariarahel!~maria","Does Everybody Work After 6 ?"
34773,"2023-12-31 16:29:45","#atropa_logged","mariarahel!~maria","How Long Til 6 That The Youth"
34772,"2023-12-31 16:29:28","#atropa_logged","mariarahel!~maria","How Long Til 6 ?"
34771,"2023-12-31 16:27:06","#atropa_logged","mariarahel!~maria","I Hope Nobody Catches Positive Before 6"
34770,"2023-12-31 16:26:52","#atropa_logged","mariarahel!~maria","$NEGATIVEtm"
34769,"2023-12-31 16:24:59","#atropa_logged","mariarahel!~maria","Absolutely Not Be That The No Such Thing"
34768,"2023-12-31 16:24:33","#atropa_logged","mariarahel!~maria","It Will Absolutely Not Be"
34767,"2023-12-31 16:24:20","#atropa_logged","mariarahel!~maria","2 Scary 2 Be"
34766,"2023-12-31 16:23:54","#atropa_logged","mariarahel!~maria","There's No Such Thing As Atlantic City's Prince Of Peace Auberge"
34765,"2023-12-31 16:23:29","#atropa_logged","mariarahel!~maria","Last Cross Over Berge"
34764,"2023-12-31 16:23:04","#atropa_logged","mariarahel!~maria","Styx Til Vanuatu, Ninja Nerds"
34763,"2023-12-31 16:22:46","#atropa_logged","mariarahel!~maria","$STYXtm"
34762,"2023-12-31 16:22:31","#atropa_logged","mariarahel!~maria","https://www.youtube.com/watch?v=GqM3YB0wF8A"
34761,"2023-12-31 16:22:15","#atropa_logged","mariarahel!~maria","I Really Like Your Casket"
34760,"2023-12-31 16:21:42","#atropa_logged","mariarahel!~maria","Prince Of Peace Desuka ?"
34759,"2023-12-31 16:21:08","#atropa_logged","mariarahel!~maria","Stihet Hie ?"
34758,"2023-12-31 16:20:50","#atropa_logged","mariarahel!~maria","Versuch Erziehet Des Kinder"
34757,"2023-12-31 16:19:38","#atropa_logged","mariarahel!~maria","Leave It !!!"
34756,"2023-12-31 16:19:25","#atropa_logged","mariarahel!~maria","It Is Only Haram"
34755,"2023-12-31 16:19:03","#atropa_logged","mariarahel!~maria","Youth Vs Atlantic City"
34754,"2023-12-31 16:18:34","#atropa_logged","mariarahel!~maria","Stop Being Young"
34753,"2023-12-31 16:18:18","#atropa_logged","mariarahel!~maria","Can I Trade You For A Veal Cow At Last Rights ?"
34752,"2023-12-31 16:17:58","#atropa_logged","mariarahel!~maria","An Cheon That The Fools ?"
34751,"2023-12-31 16:17:42","#atropa_logged","mariarahel!~maria","Are You An Cheon ?"
34750,"2023-12-31 16:17:08","#atropa_logged","mariarahel!~maria","Atlantic City Anarchy Has Nothing Whatsoever To Offer Us"
34749,"2023-12-31 16:16:37","#atropa_logged","mariarahel!~maria","There Is No Reason To Ever Discuss Any Of The Tokens I Explicitly Do Not Want You To Buy, Atlantic City"
34748,"2023-12-31 16:15:26","#atropa_logged","mariarahel!~maria","There Is No Reason To Ever Discuss Any Of The Tokens I Explicitly Do Not Want You To Buy"
34747,"2023-12-31 16:14:23","#atropa_logged","mariarahel!~maria","Fuck Off I Do Not Want You To Buy That"
34746,"2023-12-31 16:13:52","#atropa_logged","mariarahel!~maria","Di It, John Song Sue Be"
34745,"2023-12-31 16:13:42","#atropa_logged","mariarahel!~maria","Di It"
34744,"2023-12-31 16:12:56","#atropa_logged","mariarahel!~maria","Atlantic City Is Pest"
