"time_parse","usr_parse","msg_parse"
"2023-11-15 23:48:48","mariarahel!~maria","5 Motherfucking Minutes"
"2023-11-15 23:52:40","mariarahel!~maria","23 Skidoo Can Fuck Off"
"2023-11-16 00:12:58","mariarahel!~maria","The 23 Peddling Opium With Blood & Shit In It Can Fuck Off"
"2023-11-16 00:32:49","mariarahel!~maria","Renin Can Fuck Off"
"2023-11-16 00:33:32","mariarahel!~maria","Renin Can Fuck Off, Ninja Nerds"
"2023-11-16 00:38:55","mariarahel!~maria","Fuck Off"
"2023-11-16 00:46:03","mariarahel!~maria","We Only Want You To Fuck Off"
"2023-11-16 00:51:17","mariarahel!~maria","CalTech Can Fuck Off"
"2023-11-16 01:03:46","mariarahel!~maria","Phi Gamma Delta Fraternity Can Fuck Off"
"2023-11-16 01:38:26","mariarahel!~maria","Year Of The Motherfuckin Dragon"
"2023-11-16 01:43:47","mariarahel!~maria","Microsoft Can Fuck Off"
"2023-11-16 17:47:21","mariarahel!~maria","President Reagan Is Welcome To Tell Him To Fuck Off"
"2023-11-16 19:04:01","mariarahel!~maria","Kampf Can Fuck Off"
"2023-11-16 19:04:45","mariarahel!~maria","Kampf Can Fuck Off To Amtkampf"
"2023-11-16 19:06:13","mariarahel!~maria","Who's That Emergency Kampf Motherfucker ?"
"2023-11-16 19:19:34","mariarahel!~maria","Losers Can Fuck Off"
"2023-11-16 21:18:06","mariarahel!~maria","I Don't Give A Fuck If You Reference Him By Name"
"2023-11-16 21:59:49","mariarahel!~maria","Can The Continental Dollar Fuck Off ?"
"2023-11-16 22:27:53","mariarahel!~maria","Is This ""Fuck Off You Don't Know That"" ?"
"2023-11-17 03:13:41","mariarahel!~maria","I'm Not Allowed To Hypnotise People It Will Lead To Me Wanting Them To Fuck Off"
"2023-11-17 14:35:37","mariarahel!~maria","Don't Fuck With Catch 115 Yet"
"2023-11-17 14:36:59","mariarahel!~maria","Baby Girl First Cries When You Fuck With Catch 115 TM"
"2023-11-18 02:21:45","mariarahel!~maria","Or Fuck Off"
"2023-11-18 19:41:00","mariarahel!~maria","I Said Fuck Off"
"2023-11-18 20:58:58","mariarahel!~maria","Charles Motherfucking Schwab"
"2023-11-18 22:17:26","mariarahel!~maria","Charles Schwab Won't Fuck Off"
"2023-11-20 00:35:12","mariarahel!~maria","Appointees Can Fuck Off"
"2023-11-20 00:42:37","mariarahel!~maria","Sortition Buddies Can Fuck Off"
"2023-11-20 01:10:21","mariarahel!~maria","My Bar Is Pretty Fucking Low"
"2023-11-20 16:04:49","mariarahel!~maria","Everybody Can Fuck Off"
"2023-11-20 18:23:16","mariarahel!~maria","Go Fuck The Lord"
"2023-11-20 18:56:35","mariarahel!~maria","contrite as fuck"
"2023-11-20 18:57:10","mariarahel!~maria","and it can only fuck off"
"2023-11-20 19:23:15","mariarahel!~maria","He Can Fuck Off"
"2023-11-20 19:39:18","mariarahel!~maria","Postulates Can Fuck Off"
"2023-11-20 19:42:50","mariarahel!~maria","Your Lordship Can Fuck Off"
"2023-11-20 20:41:55","mariarahel!~maria","IL-6 Liberation Til Zero Fuck Offs"
"2023-11-20 20:57:36","mariarahel!~maria","USSF Prime Motion Can Fuck Off"
"2023-11-20 21:03:48","mariarahel!~maria","I Believe I Speak For The Entire USSF When I Say Fuck Off"
"2023-11-20 21:23:48","mariarahel!~maria","Jiff Only Can Fuck Off"
"2023-11-20 21:45:07","mariarahel!~maria","Friends Don't Honk Like A Motherfucking Goose"
